,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot
92497,parahippocampal gyrus,ESR1,8.7467,1.1488753661648385,7.5099,substantia nigra,0.7168299748033546,P03372
92693,parahippocampal gyrus,DDN,2.6824,1.1339915415966852,3.0957,substantia nigra,0.9749496794572375,O94850
92823,parahippocampal gyrus,UGT8,8.5608,1.0788945014066855,8.2315,postcentral gyrus,0.9933893057159648,Q16880
93103,parahippocampal gyrus,UMOD,2.0436,1.3744637116209355,3.5246,substantia nigra,0.8105701104045512,P07911
93285,parahippocampal gyrus,TFAP4,2.949,1.0336316785277042,3.2906,"inferior frontal gyrus, opercular part",0.900252598533086,Q01664
93475,parahippocampal gyrus,TFAP2A,2.4916,1.2058169799821377,3.6031,gigantocellular group,0.7804843184469017,P05549
93675,parahippocampal gyrus,NR2F2,2.1834,1.321836896703293,3.2365,inferior colliculus,0.9209868831816063,P24468
93865,parahippocampal gyrus,HAP1,2.5526,1.1828539205402477,3.4964,"inferior frontal gyrus, opercular part",0.8213779999995284,P54257
94465,parahippocampal gyrus,EFHD2,2.917,1.0456778736447612,3.3532,substantia nigra,0.8762606166662215,Q96C19
94485,parahippocampal gyrus,CDR1,2.334,1.2651444909336433,3.0653,oculomotor nuclear complex,0.9866007377440215,P51861
94495,parahippocampal gyrus,DUS4L,8.9865,1.239146540823284,8.1502,trochlear nucleus,0.9622303899687429,O95620
94525,parahippocampal gyrus,EIF3D,2.3384,1.2634881391050479,4.465,caudal group of intralaminar nuclei,0.45015382050679836,O15371
94605,parahippocampal gyrus,EIF3I,10.0201,1.628238643104225,7.6215,VIIB,0.7596016229877328,Q13347
94615,parahippocampal gyrus,EIF3J,2.053,1.3709251418053001,3.4686,paraterminal gyrus,0.8320325861959954,O75822
94745,parahippocampal gyrus,SMAD1,2.3213,1.2699253246207254,3.039,inferior olivary complex,0.9966804361960747,Q15797
94765,parahippocampal gyrus,RBM22,8.869,1.1949144181278404,7.9687,central glial substance,0.892668972894687,Q9NW64
94895,parahippocampal gyrus,RADIL,2.6335,1.1523996335099378,4.6111,dentate gyrus,0.3941597542009052,Q96JH8
94935,parahippocampal gyrus,SPINT3,10.249,1.7144065825509238,8.1201,dentate gyrus,0.950694309230842,P49223
95457,short insular gyri,PTP4A1,2.9418,1.036342072429042,3.031,postcentral gyrus,0.9997465041662811,Q93096
95507,parahippocampal gyrus,LRP8,1.9873,1.3956574861550075,3.648,ventromedial hypothalamic nucleus,0.7632760119641187,A0A087WW84
95863,short insular gyri,ZNF317,2.8443,1.073045323176325,3.069,"inferior frontal gyrus, opercular part",0.9851826813078011,Q96PQ6
96133,parahippocampal gyrus,SECTM1,8.6277,1.104078578073283,8.2394,lateral tuberal nucleus,0.9964170478365433,Q8WVN6
96153,parahippocampal gyrus,TMEM134,2.1228,1.3446493787062195,3.7439,central glial substance,0.7265215221712704,A0A087WY65
