,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot,GO
81008,parahippocampal gyrus,SMIM2,2.8421,1.0738734990906227,3.4751,substantia nigra,0.8295414059702029,Q9BVW6,[u'GO:0016021']
81018,parahippocampal gyrus,ATP6V1G2,10.1444,1.6750305822620433,7.984,paraventricular nuclei of thalamus,0.8985328278877066,O95670,"[u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0006879', u'GO:0008152', u'GO:0008286', u'GO:0008553', u'GO:0016471', u'GO:0030285', u'GO:0033572', u'GO:0042470', u'GO:0051701', u'GO:0055085', u'GO:0090382', u'GO:1902600']"
81038,parahippocampal gyrus,HSD17B4,8.9929,1.2415557798466959,7.881,dentate gyrus,0.8590572027713004,P51659,"[u'GO:0000038', u'GO:0001649', u'GO:0003857', u'GO:0003857', u'GO:0003857', u'GO:0003857', u'GO:0003857', u'GO:0003857', u'GO:0003857', u'GO:0005102', u'GO:0005739', u'GO:0005777', u'GO:0005777', u'GO:0005777', u'GO:0005778', u'GO:0005782', u'GO:0005782', u'GO:0005782', u'GO:0005782', u'GO:0005782', u'GO:0005782', u'GO:0005782', u'GO:0005782', u'GO:0005782', u'GO:0005782', u'GO:0006635', u'GO:0006699', u'GO:0006699', u'GO:0008152', u'GO:0008206', u'GO:0008209', u'GO:0008210', u'GO:0016020', u'GO:0016508', u'GO:0016508', u'GO:0016508', u'GO:0016508', u'GO:0016508', u'GO:0016508', u'GO:0016508', u'GO:0016508', u'GO:0016853', u'GO:0033540', u'GO:0033540', u'GO:0033559', u'GO:0033989', u'GO:0033989', u'GO:0036109', u'GO:0036111', u'GO:0036112', u'GO:0042803', u'GO:0042803', u'GO:0043231', u'GO:0044255', u'GO:0044281', u'GO:0044594', u'GO:0055114', u'GO:0055114', u'GO:0060009']"
81068,parahippocampal gyrus,SLC2A5,2.2899,1.2817456535793375,3.1133,paraventricular nuclei of thalamus,0.9682043299227835,P22732,"[u'GO:0005353', u'GO:0005355', u'GO:0005886', u'GO:0005975', u'GO:0008645', u'GO:0009405', u'GO:0009405', u'GO:0015755', u'GO:0015758', u'GO:0016021', u'GO:0016324', u'GO:0044281', u'GO:0055085', u'GO:0055085', u'GO:0070062', u'GO:0070062', u'GO:0070062', u'GO:0071332']"
81108,parahippocampal gyrus,SLC3A1,2.4219,1.2320550987214773,3.327,ventral thalamus,0.8863019892686473,A0A087X0R9,"[u'GO:0003824', u'GO:0005975', u'GO:0043169']"
81348,parahippocampal gyrus,SLC1A5,8.5777,1.0852563982028811,8.0838,dentate gyrus,0.9367820258160305,Q15758,"[u'GO:0001618', u'GO:0003333', u'GO:0004872', u'GO:0005515', u'GO:0005794', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005887', u'GO:0006811', u'GO:0006835', u'GO:0006860', u'GO:0006865', u'GO:0006868', u'GO:0015175', u'GO:0015186', u'GO:0015194', u'GO:0015804', u'GO:0015825', u'GO:0016020', u'GO:0017153', u'GO:0042470', u'GO:0046718', u'GO:0055085', u'GO:0055085', u'GO:0070062']"
81987,parahippocampal gyrus,SLC2A1,2.8873,1.0568582484877795,3.4659,substantia nigra,0.8330673841359401,P11166,"[u'GO:0001939', u'GO:0005355', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005829', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005887', u'GO:0005901', u'GO:0005911', u'GO:0005975', u'GO:0006112', u'GO:0006461', u'GO:0006766', u'GO:0006767', u'GO:0006970', u'GO:0008645', u'GO:0009405', u'GO:0009405', u'GO:0015758', u'GO:0015758', u'GO:0016020', u'GO:0016020', u'GO:0016323', u'GO:0019852', u'GO:0019900', u'GO:0030496', u'GO:0030864', u'GO:0033300', u'GO:0033300', u'GO:0042149', u'GO:0042470', u'GO:0042802', u'GO:0042908', u'GO:0042910', u'GO:0043621', u'GO:0044281', u'GO:0050796', u'GO:0055056', u'GO:0055056', u'GO:0055085', u'GO:0055085', u'GO:0070062', u'GO:0070062', u'GO:0070837', u'GO:0070837', u'GO:0072562']"
82086,parahippocampal gyrus,SLC2A2,2.0036,1.3895214555172568,3.3069,pineal gland,0.8940054850437906,P11168,"[u'GO:0005355', u'GO:0005737', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005887', u'GO:0005903', u'GO:0005975', u'GO:0006112', u'GO:0008645', u'GO:0009405', u'GO:0009405', u'GO:0015149', u'GO:0015758', u'GO:0016020', u'GO:0031018', u'GO:0031018', u'GO:0033300', u'GO:0035428', u'GO:0044281', u'GO:0050796', u'GO:0055056', u'GO:0055085', u'GO:0055085', u'GO:0070837']"
82206,parahippocampal gyrus,KLKB1,9.1098,1.2855620363836944,8.049,perifornical nucleus,0.9234446301456328,P03952,"[u'GO:0002542', u'GO:0004252', u'GO:0005515', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005615', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0006508', u'GO:0007596', u'GO:0007596', u'GO:0007597', u'GO:0022617', u'GO:0030198', u'GO:0031638', u'GO:0031639', u'GO:0042730', u'GO:0051919', u'GO:0070062']"
82226,parahippocampal gyrus,CUL2,9.6416,1.4857547414852856,7.7773,dentate gyrus,0.819313296707501,A0A0A0MTN0,"[u'GO:0006511', u'GO:0031461', u'GO:0031625']"
82416,parahippocampal gyrus,ZFX,8.5273,1.0662836408935163,8.1967,lateral tuberal nucleus,0.9800519100455671,P17010,"[u'GO:0003677', u'GO:0003713', u'GO:0005634', u'GO:0006351', u'GO:0006355', u'GO:0046872']"
82668,parahippocampal gyrus,ZIC2,2.8048,1.0879148452739422,3.0626,postcentral gyrus,0.9876355356839661,A0A087WY47,"[u'GO:0003676', u'GO:0046872']"
82808,parahippocampal gyrus,RPL31,9.0316,1.256124147066386,8.0999,CA1 field,0.9429524876060706,P62899,"[u'GO:0000184', u'GO:0003723', u'GO:0003735', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005925', u'GO:0006412', u'GO:0006412', u'GO:0006413', u'GO:0006414', u'GO:0006415', u'GO:0006614', u'GO:0010467', u'GO:0016020', u'GO:0016032', u'GO:0019058', u'GO:0019083', u'GO:0022625', u'GO:0044267', u'GO:0044822', u'GO:0070062', u'GO:0070062']"
83180,parahippocampal gyrus,LILRB5,2.8996,1.052227992239661,3.0624,postcentral gyrus,0.9877121873832214,O75023,"[u'GO:0002376', u'GO:0004888', u'GO:0006952', u'GO:0007166', u'GO:0016021']"
83290,parahippocampal gyrus,CEACAM21,2.8032,1.0885171550297952,3.3545,dentate gyrus,0.8757623806210632,Q3KPI0,[u'GO:0016021']
83633,parahippocampal gyrus,CDY2A,9.3518,1.3766613869564381,8.0471,substantia nigra,0.9227164390027092,Q9Y6F7,"[u'GO:0004402', u'GO:0005634', u'GO:0007283', u'GO:0016573']"
83643,parahippocampal gyrus,PIK3C2B,1.8732,1.4386097006192642,3.2011,paraventricular nucleus of the hypothalamus,0.9345542339497693,O00750,"[u'GO:0001727', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005524', u'GO:0005634', u'GO:0005783', u'GO:0005829', u'GO:0005886', u'GO:0005942', u'GO:0006644', u'GO:0006644', u'GO:0006661', u'GO:0008150', u'GO:0016303', u'GO:0030139', u'GO:0035005', u'GO:0035091', u'GO:0036092', u'GO:0043491', u'GO:0044281', u'GO:0046854', u'GO:0048015']"
84014,parahippocampal gyrus,EEFSEC,2.9047,1.0503081298928798,3.5577,substantia nigra,0.7978842541778225,P57772,"[u'GO:0000049', u'GO:0001514', u'GO:0003746', u'GO:0003924', u'GO:0005525', u'GO:0005634', u'GO:0005739', u'GO:0030529', u'GO:0035368', u'GO:0043021']"
84024,parahippocampal gyrus,U2AF1,1.7148,1.498238366448696,3.3082,posterior group of nuclei,0.8935072489986322,Q01081,"[u'GO:0000166', u'GO:0000398', u'GO:0071013', u'GO:0000398', u'GO:0005681', u'GO:0000398', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005681', u'GO:0006366', u'GO:0006369', u'GO:0006369', u'GO:0006397', u'GO:0006406', u'GO:0006406', u'GO:0008380', u'GO:0010467', u'GO:0015030', u'GO:0016607', u'GO:0031124', u'GO:0044822', u'GO:0044822', u'GO:0046872', u'GO:0050733', u'GO:0071013']"
84104,parahippocampal gyrus,TGFBI,9.2798,1.3495574479430597,8.2354,nucleus subceruleus,0.9948840138514403,Q15582,"[u'GO:0001525', u'GO:0002062', u'GO:0005178', u'GO:0005515', u'GO:0005518', u'GO:0005576', u'GO:0005578', u'GO:0005604', u'GO:0005615', u'GO:0005802', u'GO:0005886', u'GO:0005886', u'GO:0007155', u'GO:0007162', u'GO:0007601', u'GO:0008283', u'GO:0030198', u'GO:0050840', u'GO:0050896', u'GO:0070062', u'GO:0070062', u'GO:0031012', u'GO:0031012']"
84304,parahippocampal gyrus,KLF7,8.6499,1.112435625935741,8.1688,perifornical nucleus,0.9693589979994723,O75840,"[u'GO:0003677', u'GO:0003700', u'GO:0003713', u'GO:0005634', u'GO:0006351', u'GO:0006357', u'GO:0007411', u'GO:0008270', u'GO:0045893', u'GO:0048813']"
84314,parahippocampal gyrus,RUVBL1,2.1135,1.3481503041621141,3.0491,dorsal motor nucleus of the vagus,0.9928095253836893,Q9Y265,"[u'GO:0000812', u'GO:0003678', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005634)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005524', u'GO:0005634', u'GO:0005634', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005737', u'GO:0005794', u'GO:0005815', u'GO:0006281', u'GO:0006310', u'GO:0006325', u'GO:0006334', u'GO:0006351', u'GO:0006357', u'GO:0007067', u'GO:0007283', u'GO:0016020', u'GO:0016363', u'GO:0031011', u'GO:0031011', u'GO:0032508', u'GO:0032508', u'GO:0034080', u'GO:0035267', u'GO:0035267', u'GO:0040008', u'GO:0043231', u'GO:0043967', u'GO:0043968', u'GO:0051301', u'GO:0070062', u'GO:0070062', u'GO:0071339', u'GO:0016887']"
84324,parahippocampal gyrus,GUCY1B3,1.5698,1.5528226880728608,3.4047,lateral tuberal nucleus,0.8565228041080184,Q02153,"[u'GO:0004383', u'GO:0004872', u'GO:0005525', u'GO:0005737', u'GO:0006182', u'GO:0007263', u'GO:0007596', u'GO:0008015', u'GO:0008074', u'GO:0020037', u'GO:0043231', u'GO:0046872', u'GO:0046982', u'GO:0051879']"
84678,parahippocampal gyrus,GUCY1A3,2.7944,1.0918298586869857,3.6016,substantia nigra,0.7810592061913154,Q02108,"[u'GO:0004383', u'GO:0004872', u'GO:0005525', u'GO:0006182', u'GO:0007263', u'GO:0007596', u'GO:0008015', u'GO:0008074', u'GO:0008217', u'GO:0020037', u'GO:0030828', u'GO:0052565', u'GO:0060087']"
84990,parahippocampal gyrus,GUCY2C,2.3916,1.2434613397229408,3.1612,substantia nigra,0.9498462479511732,P25092,"[u'GO:0004383', u'GO:0004672', u'GO:0005515', u'GO:0005515', u'GO:0005524', u'GO:0005525', u'GO:0005789', u'GO:0005886', u'GO:0006182', u'GO:0006468', u'GO:0007168', u'GO:0009636', u'GO:0015643', u'GO:0016021', u'GO:0035556', u'GO:0042127']"
85193,parahippocampal gyrus,CDH17,8.9756,1.2350433056115366,8.1999,dentate gyrus,0.9812783372336495,Q12864,"[u'GO:0005215', u'GO:0005427', u'GO:0005509', u'GO:0005886', u'GO:0005886', u'GO:0006810', u'GO:0006857', u'GO:0007155', u'GO:0007156', u'GO:0016021', u'GO:0016323', u'GO:0016339', u'GO:0034329', u'GO:0034332', u'GO:0035672', u'GO:0045216']"
85683,parahippocampal gyrus,CDH13,2.7014,1.1268391132459326,3.364,substantia nigra,0.8721214249064431,A0A087WZG7,"[u'GO:0005509', u'GO:0005886', u'GO:0007156', u'GO:0016021']"
85743,parahippocampal gyrus,LILRB4,9.4188,1.4018831079827758,8.1035,VIIB,0.9443322181926637,A0A087X0F8, 
85914,parahippocampal gyrus,NAA16,8.5312,1.0677517709234077,8.0461,substantia nigra,0.9223331805064329,Q6N069,"[u'GO:0005515', u'GO:0005515', u'GO:0005634', u'GO:0005667', u'GO:0005737', u'GO:0005737', u'GO:0005737', u'GO:0006474', u'GO:0006474', u'GO:0031415', u'GO:0043022', u'GO:0043066', u'GO:0045893', u'GO:0050821', u'GO:0070062', u'GO:0004596', u'GO:0016407', u'GO:0043022']"
86078,"cingulate gyrus, retrosplenial part",PRPF39,8.4624,1.0418524514217353,8.1928,substantia nigra,0.9785572019100917,Q86UA1,"[u'GO:0005634', u'GO:0006397', u'GO:0008380']"
86118,parahippocampal gyrus,CCDC109B,8.7925,1.1661164829261264,8.1975,fastigial nucleus,0.9803585168425877,Q9NWR8,"[u'GO:0005739', u'GO:0006851', u'GO:0019855', u'GO:0031224', u'GO:0031305', u'GO:0034704', u'GO:0051560', u'GO:1990246', u'GO:0005216']"
86238,parahippocampal gyrus,PSMC5,2.0928,1.3559426866284605,3.0558,basomedial nucleus,0.9902416934586414,P62195,"[u'GO:0000082', u'GO:0000209', u'GO:0000278', u'GO:0000502', u'GO:0000502', u'GO:0002474', u'GO:0002479', u'GO:0002479', u'GO:0003712', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005524', u'GO:0005634', u'GO:0005634', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005737', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005838', u'GO:0006366', u'GO:0006521', u'GO:0006915', u'GO:0006977', u'GO:0008134', u'GO:0008134', u'GO:0010467', u'GO:0016020', u'GO:0016032', u'GO:0016234', u'GO:0016887', u'GO:0016887', u'GO:0017025', u'GO:0022624', u'GO:0031145', u'GO:0031145', u'GO:0031145', u'GO:0031145', u'GO:0031410', u'GO:0031531', u'GO:0031595', u'GO:0031597', u'GO:0034641', u'GO:0042590', u'GO:0042981', u'GO:0043066', u'GO:0043069', u'GO:0043161', u'GO:0044281', u'GO:0045892', u'GO:0045893', u'GO:0051436', u'GO:0051437', u'GO:0051439', u'GO:0070062', u'GO:0072562', u'GO:0090090', u'GO:0090261', u'GO:0090263']"
86445,parahippocampal gyrus,PSMC2,2.8367,1.075906294516626,4.1824,basomedial nucleus,0.5584626715543364,P35998,"[u'GO:0000082', u'GO:0000209', u'GO:0000278', u'GO:0000502', u'GO:0000502', u'GO:0000932', u'GO:0001649', u'GO:0002474', u'GO:0002479', u'GO:0002479', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005524', u'GO:0005634', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005737', u'GO:0005737', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0006511', u'GO:0006521', u'GO:0006915', u'GO:0006977', u'GO:0010467', u'GO:0016020', u'GO:0016020', u'GO:0016032', u'GO:0016887', u'GO:0022624', u'GO:0031145', u'GO:0031145', u'GO:0031145', u'GO:0031145', u'GO:0034641', u'GO:0042590', u'GO:0042981', u'GO:0043066', u'GO:0044281', u'GO:0051436', u'GO:0051437', u'GO:0051439', u'GO:0090090', u'GO:0090263']"
86805,long insular gyri,PSMC3,2.8514,1.070372573634728,3.1989,CA1 field,0.9353974026415759,P17980,"[u'GO:0000082', u'GO:0000209', u'GO:0000278', u'GO:0000502', u'GO:0000932', u'GO:0001824', u'GO:0002474', u'GO:0002479', u'GO:0002479', u'GO:0003713', u'GO:0003714', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005524', u'GO:0005634', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0006521', u'GO:0006915', u'GO:0006977', u'GO:0010467', u'GO:0016020', u'GO:0016032', u'GO:0016887', u'GO:0022624', u'GO:0031145', u'GO:0031145', u'GO:0031145', u'GO:0031145', u'GO:0034641', u'GO:0042590', u'GO:0042981', u'GO:0043066', u'GO:0044281', u'GO:0048471', u'GO:0051436', u'GO:0051437', u'GO:0051439', u'GO:0090090', u'GO:0090263', u'GO:1903506', u'GO:1903507']"
86976,parahippocampal gyrus,SPNS2,2.1704,1.3267306634695972,3.0372,lateral tuberal nucleus,0.9973703014893712,Q8IVW8,"[u'GO:0001782', u'GO:0002920', u'GO:0003376', u'GO:0005765', u'GO:0006665', u'GO:0006869', u'GO:0016021', u'GO:0031982', u'GO:0040011', u'GO:0043029', u'GO:0046624', u'GO:0048073', u'GO:0048535', u'GO:0055085', u'GO:0060348', u'GO:0072676']"
87138,short insular gyri,NPHS2,8.4661,1.043245292732145,8.0439,lateral tuberal nucleus,0.9214900118146268,Q9NP85,"[u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005886)', u'GO:0005783', u'GO:0005886', u'GO:0005887', u'GO:0005911', u'GO:0007588', u'GO:0031235', u'GO:0031532', u'GO:0043234', u'GO:0045121', u'GO:0070062', u'GO:0070062', u'GO:0070062', u'GO:0072249', u'GO:0036057']"
87168,parahippocampal gyrus,FBXO10,9.3419,1.3729345953420988,8.1399,dentate gyrus,0.9582828274571026,Q9UK96,"[u'GO:0000151', u'GO:0000151', u'GO:0004842', u'GO:0004842', u'GO:0005515', u'GO:0005737', u'GO:0006915', u'GO:0016567', u'GO:0016567', u'GO:0042787', u'GO:0042981']"
87198,parahippocampal gyrus,FBXO9,8.8271,1.179141431396444,8.011,paraventricular nuclei of thalamus,0.9088808072871527,Q9UK97,"[u'GO:0000151', u'GO:0000151', u'GO:0004842', u'GO:0004842', u'GO:0005515', u'GO:0005515', u'GO:0005737', u'GO:0016567', u'GO:0016567', u'GO:0016567', u'GO:0016567', u'GO:0019005', u'GO:0031146', u'GO:0032006', u'GO:0045087', u'GO:0045444']"
87668,parahippocampal gyrus,SLC9A3R1,2.805,1.0878395565544605,3.0371,postcentral gyrus,0.9974086273389987,O14745,"[u'GO:0001726', u'GO:0003096', u'GO:0005102', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005902)|occurs_in(GO:0032587)|occurs_in(GO:0030175)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005902)|occurs_in(GO:0032587)|occurs_in(GO:0030175)', u'GO:0005515', u'occurs_in(GO:0005902)|occurs_in(GO:0032587)|occurs_in(GO:0030175)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005737', u'GO:0005737', u'GO:0005813', u'GO:0005886', u'GO:0005902', u'GO:0006461', u'GO:0007191', u'GO:0008013', u'GO:0008285', u'GO:0008285', u'GO:0010642', u'GO:0012505', u'GO:0014067', u'GO:0015629', u'GO:0016020', u'GO:0016055', u'GO:0016324', u'GO:0017081', u'GO:0019902', u'GO:0030033', u'GO:0030036', u'GO:0030165', u'GO:0030175', u'GO:0030336', u'GO:0030643', u'GO:0031526', u'GO:0031528', u'GO:0031698', u'GO:0031982', u'GO:0032403', u'GO:0032415', u'GO:0032416', u'GO:0032782', u'GO:0032947', u'GO:0034613', u'GO:0034635', u'GO:0043231', u'GO:0043621', u'GO:0044062', u'GO:0045121', u'GO:0045859', u'GO:0050780', u'GO:0051898', u'GO:0060158', u'GO:0070062', u'GO:0070062', u'GO:0070062', u'GO:0070062', u'GO:0070062', u'GO:0070293', u'GO:0070373', u'GO:0070851', u'GO:0071944', u'GO:0097225', u'GO:0097291', u'GO:2001244', u'GO:0005634']"
87748,parahippocampal gyrus,KL,1.7904,1.469779230484649,3.1276,basomedial nucleus,0.9627237334260398,Q9UEF7,"[u'GO:0002526', u'GO:0004566', u'GO:0004871', u'GO:0005104', u'GO:0005179', u'GO:0005499', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005576', u'GO:0005615', u'GO:0005615', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005887', u'GO:0005975', u'GO:0006112', u'GO:0007173', u'GO:0007568', u'GO:0008286', u'GO:0008422', u'GO:0008543', u'GO:0008543', u'GO:0008543', u'GO:0016021', u'GO:0017134', u'GO:0030501', u'GO:0038095', u'GO:0045087', u'GO:0048011', u'GO:0048015', u'GO:0055074', u'GO:0070062', u'GO:0070062', u'GO:0070062', u'GO:0090080']"
87968,parahippocampal gyrus,TRPA1,8.4355,1.0317261186514588,7.9783,lateral tuberal nucleus,0.8963482544589346,O75762,"[u'GO:0005262', u'GO:0005886', u'GO:0005887', u'GO:0006811', u'GO:0009409', u'GO:0015267', u'GO:0032421', u'GO:0034220', u'GO:0042493', u'GO:0042542', u'GO:0048265', u'GO:0050955', u'GO:0050966', u'GO:0050968', u'GO:0055085', u'GO:0070588']"
87978,parahippocampal gyrus,KHK,2.2061,1.3132916270421304,4.3764,pineal gland,0.4841105232768332,P50053,"[u'GO:0004454', u'GO:0004454', u'GO:0005524', u'GO:0005634', u'GO:0005737', u'GO:0005829', u'GO:0005975', u'GO:0006001', u'GO:0009405', u'GO:0009405', u'GO:0044281', u'GO:0046835', u'GO:0046835', u'GO:0046835', u'GO:0046835', u'GO:0046835', u'GO:0070062', u'GO:0070062', u'GO:0070873']"
88490,parahippocampal gyrus,DTNB,8.45,1.037184550813875,7.4673,substantia nigra,0.7005031628620059,O60941,"[u'GO:0005737', u'GO:0008270', u'GO:0045202']"
